          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
         
node   9 sent_total    290  recv_total      4

node  10  (   0,    0) (   0,    0) (   1,    0) (   0,    0) (   3,    1) (   3,    1) (   3,    1) (   2,    1) (   1,    0) (   1,    0)
          (   5,    0) (   2,    1) (   4,    0) (   6,    0) (   4,    0) (   1,    0) (   4,    0) (   2,    0) (   3,    0) (   2,    0)
          (   3,    0) (   2,    0) (   5,    0) (   2,    0) (   1,    0) (   3,    0) (   4,    0) (   4,    0) (   1,    0) (   1,    0)
          (   1,    0) (   3,    0) (   2,    0) (   2,    0) (   1,    0) (   3,    0) (   2,    0) (   3,    0) (   4,    0) (   3,    0)
          (   3,    0) (   1,    0) (   3,    0) (   5,    0) (   6,    0) (   4,    0) (   2,    0) (   3,    0) (   1,    0) (   6,    0)
          (   3,    0) (   3,    0) (   1,    0) (   2,    0) (   4,    0) (   2,    0) (   5,    0) (   3,    0) (   3,    0) (   2,    0)
          (   5,    0) (   1,    0) (   1,    0) (   3,    0) (   2,    0) (   1,    0) (   5,    0) (   2,    0) (   2,    0) (   3,    0)
          (   2,    0) (   4,    0) (   3,    0) (   7,    0) (   0,    0) (   1,    0) (   4,    0) (   3,    0) (   1,    0) (   4,    0)
          (   2,    0) (   3,    0) (   3,    0) (   4,    0) (   3,    0) (   3,    0) (   2,    0) (   2,    0) (   1,    0) (   1,    0)
          (   1,    0) (   2,    0) (   4,    0) (   5,    0) (   4,    0) (   4,    0) (   2,    0) (   2,    0) (   5,    0) (   1,    0)
          (   2,    0) (   2,    0) (   3,    0) (   2,    0) (   1,    0) (   5,    0) (   3,    0) (   2,    0) (   2,    0) (   0,    0)
          (   2,    0) (   1,    0) (   3,    0) (   4,    0) (   1,    0) (   1,    0) (   4,    0) (   3,    0) (   3,    0) (   4,    0)
          (   1,    0) (   1,    0) (   3,    0) (   4,    0) (   1,    0) (   1,    0) (   2,    0) (   5,    0) (   3,    0) (   1,    0)
          (   1,    0) (   6,    0) (   5,    0) (   3,    0) (   1,    0) (   4,    0) (   2,    0) (   1,    0) (   3,    0) (   2,    0)
          (   3,    0) (   5,    0) (   3,    0) (   3,    0) (   5,    0) (   2,    0) (   1,    0) (   3,    0) (   4,    0) (   2,    0)
          (   1,    0) (   2,    0) (   5,    0) (   3,    0) (   3,    0) (   3,    0) (   2,    0) (   4,    0) (   3,    0) (   3,    0)
          (   3,    0) (   4,    0) (   2,    0) (   1,    0) (   7,    0) (   0,    0) (   3,    0) (   2,    0) (   0,    0) (   3,    0)
          (   4,    0) (   4,    0) (   4,    0) (   2,    0) (   2,    0) (   2,    0) (   1,    0) (   1,    0) (   5,    0) (   5,    0)
          (   2,    0) (   5,    0) (   4,    0) (   3,    0) (   3,    0) (   2,    0) (   1,    0) (   2,    0) (   3,    0) (   3,    0)
          (   6,    0) (   3,    0) (   3,    0) (   2,    0) (   3,    0) (   1,    0) (   4,    0) (   2,    0) (   2,    0) (   2,    0)
          (   3,    0) (   4,    0) (   1,    0) (   4,    0) (   3,    0) (   2,    0) (   5,    0) (   5,    0) (   5,    0) (   2,    0)
          (   2,    0) (   2,    0) (   5,    0) (   3,    0) (   3,    0) (   3,    0) (   3,    0) (   0,    0) (   6,    0) (   2,    0)
          (   1,    0) (   1,    0) (   4,    0) (   3,    0) (   3,    0) (   0,    0) (   5,    0) (   3,    0) (   2,    0) (   3,    0)
          (   5,    0) (   5,    0) (   3,    0) (   3,    0) (   2,    0) (   5,    0) (   3,    0) (   5,    0) (   2,    0) (   3,    0)
          (   2,    0) (   3,    0) (   2,    0) (   4,    0) (   6,    0) (   2,    0) (   3,    0) (   3,    0) (   3,    0) (   5,    0)
          (   2,    0) (   1,    0) (   0,    0) (   4,    0) (   4,    0) (   2,    0) (   5,    0) (   2,    0) (   2,    0) (   3,    0)
          (   5,    0) (   6,    0) (   3,    0) (   4,    0) (   5,    0) (   2,    0) (   4,    0) (   2,    0) (   4,    0) (   4,    0)
          (   3,    0) (   4,    0) (   3,    0) (   4,    0) (   2,    0) (   3,    0) (   3,    0) (   2,    0) (   2,    0) (   3,    0)
          (   2,    0) (   2,    0) (   1,    0) (   3,    0) (   3,    0) (   2,    0) (   2,    0) (   4,    0) (   2,    0) (   0,    0)
          (   2,    0) (   4,    0) (   2,    0) (   4,    0) (   2,    0) (   8,    0) (   3,    0) (   3,    0) (   3,    0) (   4,    0)
          (   2,    0) (   5,    0) (   1,    0) (   2,    0) (   7,    0) (   8,    0) (   2,    0) (   0,    0) (   2,    0) (   1,    0)
          (   6,    0) (   5,    0) (   1,    0) (   2,    0) (   3,    0) (   4,    0) (   5,    0) (   5,    0) (   2,    0) (   2,    0)
          (   3,    0) (   4,    0) (   6,    0) (   1,    0) (   2,    0) (   2,    0) (   1,    0) (   2,    0) (   1,    0) (   3,    0)
          (   0,    0) (   1,    0) (   4,    0) (   3,    0) (   4,    0) (   1,    0) (   3,    0) (   2,    0) (   3,    0) (   5,    0)
          (   2,    0) (   5,    0) (   6,    0) (   1,    0) (   1,    0) (   1,    0) (   3,    0) (   0,    0) (   1,    0) (   4,    0)
          (   3,    0) (   5,    0) (   6,    0) (   4,    0) (   5,    0) (   0,    0) (   4,    0) (   1,    0) (   2,    0) (   3,    0)
          (   1,    0) (   6,    0) (   1,    0) (   5,    0) (   1,    0) (   3,    0) (   2,    0) (   1,    0) (   4,    0) (   3,    0)
          (   5,    0) (   4,    0) (   4,    0) (   2,    0) (   0,    0) (   1,    0) (   3,    0) (   4,    0) (   5,    0) (   2,    0)
          (   4,    0) (   3,    0) (   3,    0) (   1,    0) (   3,    0) (   1,    0) (   2,    0) (   5,    0) (   4,    0) (   3,    0)
          (   4,    0) (   6,    0) (   1,    0) (   1,    0) (   2,    0) (   2,    0) (   6,    0) (   4,    0) (   4,    0) (   3,    0)
          (   3,    0) (   2,    0) (   2,    0) (   6,    0) (   1,    0) (   5,    0) (   3,    0) (   4,    0) (   4,    0) (   3,    0)
          (   3,    0) (   1,    0) (   3,    0) (   4,    0) (   2,    0) (   2,    0) (   1,    0) (   1,    0) (   5,    0) (   7,    0)
          (   4,    0) (   4,    0) (   0,    0) (   2,    0) (   3,    0) (   3,    0) (   5,    0) (   4,    0) (   1,    0) (   1,    0)
          (   1,    0) (   1,    0) (   6,    0) (   0,    0) (   3,    0) (   2,    0) (   5,    0) (   4,    0) (   4,    0) (   3,    0)
          (   5,    0) (   2,    0) (   3,    0) (   5,    0) (   6,    0) (   1,    0) (   1,    0) (   3,    0) (   3,    0) (   2,    0)
          (   1,    0) (   3,    0) (   1,    0) (   3,    0) (   2,    0) (   1,    0) (   1,    0) (   4,    0) (   3,    0) (   2,    0)
          (   2,    0) (   5,    0) (   5,    0) (   1,    0) (   4,    0) (   2,    0) (   5,    0) (   4,    0) (   5,    0) (   5,    0)
          (   5,    0) (   1,    0) (   2,    0) (   4,    0) (   2,    0) (   4,    0) (   2,    0) (   5,    0) (   3,    0) (   3,    0)
          (   5,    0) (   3,    0) (   2,    0) (   5,    0) (   2,    0) (   2,    0) (   2,    0) (   3,    0) (   3,    0) (   2,    0)
          (   4,    0) (   3,    0) (   1,    0) (   3,    0) (   8,    0) (   2,    0) (   2,    0) (   1,    0) (   5,    0) (   7,    0)
          (   2,    0) (   2,    0) (   4,    0) (   3,    0) (   4,    0) (   3,    0) (   2,    0) (   1,    0) (   3,    0) (   2,    0)
          (   3,    0) (   5,    0) (   3,    0) (   2,    0) (   2,    0) (   3,    0) (   2,    0) (   3,    0) (   3,    0) (   2,    0)
          (   2,    0) (   1,    0) (   2,    0) (   5,    0) (   3,    0) (   3,    0) (   2,    0) (   4,    0) (   5,    0) (   1,    0)
          (   2,    0) (   4,    0) (   3,    0) (   4,    0) (   3,    0) (   4,    0) (   2,    0) (   3,    0) (   3,    0) (   3,    0)
          (   3,    0) (   3,    0) (   3,    0) (   4,    0) (   3,    0) (   7,    0) (   1,    0) (   5,    0) (   3,    0) (   6,    0)
          (   2,    0) (   2,    0) (   6,    0) (   2,    0) (   2,    0) (   3,    0) (   0,    0) (   4,    0) (   1,    0) (   4,    0)
          (   2,    0) (   4,    0) (   3,    0) (   3,    0) (   3,    0) (   1,    0) (   3,    0) (   5,    0) (   5,    0) (   4,    0)
          (   3,    0) (   2,    0) (   1,    0) (   1,    0) (   2,    0) (   5,    0) (   3,    0) (   4,    0) (   2,    0) (   2,    0)
          (   3,    0) (   2,    0) (   3,    0) (   3,    0) (   7,    0) (   4,    0) (   3,    0) (   3,    0) (   5,    0) (   1,    0)
          (   5,    0) (   2,    0) (   3,    0) (   2,    0) (   4,    0) (   3,    0) (   3,    0) (   2,    0) (   5,    0) (   2,    0)
          (   3,    0) (   1,    0) (   4,    0) (   5,    0) (   5,    0) (   9,    0) (   6,    0) (   6,    0) (   0,    0) (   3,    0)
          (   2,    0) (   1,    0) (   1,    0) (   3,    0) (   3,    0) (   4,    0) (   2,    0) (   4,    0) (   4,    0) (   6,    0)
          (   3,    0) (   2,    0) (   1,    0) (   2,    0) (   2,    0) (   5,    0) (   3,    0) (   2,    0) (   7,    0) (   4,    0)
          (   3,    0) (   4,    0) (   1,    0) (   1,    0) (   8,    0) (   4,    0) (   3,    0) (   3,    0) (   3,    0) (   3,    0)
          (   2,    0) (   4,    0) (   4,    0) (   6,    0) (   4,    0) (   1,    0) (   4,    0) (   4,    0) (   3,    0) (   3,    0)
          (   1,    0) (   5,    0) (   1,    0) (   3,    0) (   3,    0) (   0,    0) (   7,    0) (   4,    0) (   3,    0) (   5,    0)
          (   3,    0) (   6,    0) (   1,    0) (   3,    0) (   3,    0) (   3,    0) (   1,    0) (   3,    0) (   6,    0) (   3,    0)
          (   1,    0) (   5,    0) (   4,    0) (   5,    0) (   4,    0) (   5,    0) (   3,    0) (   5,    0) (   6,    0) (   2,    0)
          (   2,    0) (   2,    0) (   4,    0) (   2,    0) (   3,    0) (   3,    0) (   7,    0) (   3,    0) (   3,    0) (   3,    0)
          (   0,    0) (   4,    0) (   5,    0) (   1,    0) (   3,    0) (   5,    0) (   1,    0) (   5,    0) (   2,    0) (   3,    0)
         
node  10 sent_total   2074  recv_total      5

